service,image,score_cve,criticite,niveau,ports,privileged
front-end,weaveworksdemos/front-end:0.3.12,0.0,4,CRITIQUE,[80],False
orders,weaveworksdemos/orders:0.4.7,0.0,3,CRITIQUE,[],False
cart,weaveworksdemos/cart:0.4.8,0.0,3,CRITIQUE,[],False
orders-db,mongo:3.4,0.0,3,CRITIQUE,[],False
cart-db,redis:alpine,0.0,3,CRITIQUE,[],False
user,weaveworksdemos/user:0.4.7,0.0,4,CRITIQUE,[],False
shipping,weaveworksdemos/shipping:0.4.8,0.0,2,CRITIQUE,[],False
payment,weaveworksdemos/payment:0.4.3,0.0,2,CRITIQUE,[],False
rabbitmq,rabbitmq:3.6.8,0.0,3,CRITIQUE,[],False
catalogue,weaveworksdemos/catalogue:0.3.5,45.0,3,CRITIQUE,[],False
catalogue-db,weaveworksdemos/catalogue-db:0.3.0,100.0,3,SAIN,[],False
user-db,weaveworksdemos/user-db:0.4.0,100.0,3,SAIN,[],False
edge-router,weaveworksdemos/edge-router:0.1.1,100.0,2,SAIN,[8080],False
