service,image,score_cve,criticite,niveau,ports,privileged
front-end,weaveworksdemos/front-end:0.3.12,0.0,1,CRITIQUE,[],False
edge-router,weaveworksdemos/edge-router:0.1.1,0.0,1,CRITIQUE,"[80, 8080]",False
catalogue,weaveworksdemos/catalogue:0.3.5,0.0,1,CRITIQUE,[],False
catalogue-db,weaveworksdemos/catalogue-db:0.3.0,0.0,2,CRITIQUE,[],False
carts,weaveworksdemos/carts:0.4.8,0.0,1,CRITIQUE,[],False
carts-db,mongo:3.4,0.0,1,CRITIQUE,[],False
orders,weaveworksdemos/orders:0.4.7,0.0,1,CRITIQUE,[],False
orders-db,mongo:3.4,0.0,2,CRITIQUE,[],False
shipping,weaveworksdemos/shipping:0.4.8,0.0,1,CRITIQUE,[],False
queue-master,weaveworksdemos/queue-master:0.3.1,0.0,1,CRITIQUE,[],False
rabbitmq,rabbitmq:3.6.8,0.0,1,CRITIQUE,[],False
payment,weaveworksdemos/payment:0.4.3,0.0,2,CRITIQUE,[],False
user,weaveworksdemos/user:0.4.4,0.0,2,CRITIQUE,[],False
user-db,weaveworksdemos/user-db:0.4.0,0.0,2,CRITIQUE,[],False
user-sim,weaveworksdemos/load-test:0.1.1,0.0,1,CRITIQUE,[],False
